Country,Date,Doses,Funder,ISO3,NewPipeline,Pipeline,Source_Url,Vaccine,c9
Pakistan,August,5,130,018,Global,PAK,COVAX/Global,COVAX,https://www.unicef.org/pakistan/press-releases/covax-delivers-first-tranche-6-million-doses-sinopharm-covid-19-vaccines-pakistan,Sinopharm,
DRC,August,51,840,UK,COD,COVAX/UK,COVAX,https://reliefweb.int/report/malawi/uk-donated-covid-19-vaccine-doses-reach-african-countries,AstraZeneca,
Colombia,August,150,000,Procured,COL,Procured,Other,https://www.elespectador.com/salud/colombia-recibio-150000-nuevas-dosis-de-la-vacuna-moderna-contra-el-covid-19/,Moderna,
Iraq,August,503,100,USA,IRQ,COVAX/USA,COVAX,https://www.trtworld.com/life/us-ships-more-than-500-000-doses-of-vaccine-to-iraq-latest-updates-49116,Pfizer/BioNTech,
Libya,August,117,600,Global,LBY,COVAX/Global,COVAX,https://www.libyaherald.com/2021/08/13/a-consignment-of-117600-doses-of-astra-zeneca-anti-coronavirus-vaccines-land-in-tripoli/,AstraZeneca,
Nigeria,August,177,600,African Vaccine Acquisition Trust,NGA,African Vaccine Acquisition Trust,Other,https://www.africanews.com/2021/08/13/coronavirus-nigeria-receives-177-600-doses-of-johnson-johnson-vaccines-for-next-phase-of-covid-19-vaccinations/,Johnson & Johnson,
Nigeria,August,699,760,UK,NGA,COVAX/UK,COVAX,https://punchng.com/nigeria-gets-698880-more-astrazeneca-doses/,AstraZeneca,
Colombia,June,480,000,Procured,COL,Procured,Other,https://www.youtube.com/watch?v=wR7igM6VUwk&ab_channel=MinSaludCol,Johnson & Johnson,
Colombia,August,4,395,665,Procured,COL,Procured,Other,https://twitter.com/MinSaludCol/status/1428003245901877257/photo/1,,
Pakistan,August,5,802,322,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
El Salvador,July,1,500,100,USA,SLV,COVAX/USA,COVAX,https://sv.usembassy.gov/united-states-announces-second-batch-of-1-5-million-vaccines-for-el-salvador/,Moderna,
El Salvador,August,1,500,100,USA,SLV,COVAX/USA,COVAX,https://sv.usembassy.gov/united-states-announces-second-batch-of-1-5-million-vaccines-for-el-salvador/,Moderna,
El Salvador,March,33,600,Global,SLV,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
El Salvador,March,51,480,Global,SLV,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Pfizer/BioNTech,
El Salvador,April,96,000,Global,SLV,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
El Salvador,May,140,400,Global,SLV,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Pfizer/BioNTech,
El Salvador,May,96,000,Global,SLV,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
El Salvador,February,20,000,Procured,SLV,Procured,Other,https://www.laprensagrafica.com/elsalvador/En-vivo-Llega-a-El-Salvador-el-primer-lote-de-vacunas-contra-el-coronavirus-20210217-0025.html,AstraZeneca,
El Salvador,March,1,000,000,Procured,SLV,Procured,Other,https://www.swissinfo.ch/spa/coronavirus-el-salvador_el-salvador-recibir%C3%A1-500.000-dosis-m%C3%A1s-de-la-vacuna-china-sinovac/46565010,Sinovac,
El Salvador,June,500,000,Procured,SLV,Procured,Other,https://www.salud.gob.sv/el-salvador-recibe-lote-de-500-mil-vacunas-de-la-farmaceutica-sinovac/,Sinovac,
El Salvador,April,500,000,Procured,SLV,Procured,Other,https://www.swissinfo.ch/spa/coronavirus-el-salvador_el-salvador-recibir%C3%A1-500.000-dosis-m%C3%A1s-de-la-vacuna-china-sinovac/46565010,Sinovac,
El Salvador,July,1,500,000,Procured,SLV,Procured,Other,https://www.efe.com/efe/america/sociedad/el-salvador-recibe-1-5-millones-de-vacunas-contra-la-covid-compradas-a-china/20000013-4581182,Sinovac,
El Salvador,April,150,000,China,SLV,China,Other,https://www.swissinfo.ch/spa/coronavirus-el-salvador_el-salvador-recibir%C3%A1-500.000-dosis-m%C3%A1s-de-la-vacuna-china-sinovac/46565010,Sinovac,
El Salvador,July,1,000,000,Procured,SLV,Procured,Other,https://www.reuters.com/article/us-health-coronavirus-el-salvador-china/el-salvador-to-receive-1-million-vaccine-doses-from-china-after-boosting-diplomatic-ties-idUSKBN2EW273,Sinopharm,
Guatemala,March,81,600,Global,GTM,COVAX/Global,COVAX,https://www.paho.org/en/news/11-3-2021-guatemala-receives-its-first-vaccines-covax-facility,AstraZeneca,
Guatemala,August,363,870,Global,GTM,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Pfizer/BioNTech,
Guatemala,July,1,500,000,USA,GTM,COVAX/USA,COVAX,https://news.aa.com/news/news-details/2021/American-Airlines-Delivers-an-Additional-3-Million-Vaccines-Abroad-on-Behalf-of-White-House-COVID-19-Task-Force-OPS-CGO-07/default.aspx,Moderna,
Guatemala,July,3,000,000,USA,GTM,COVAX/USA,COVAX,https://news.aa.com/news/news-details/2021/American-Airlines-Delivers-an-Additional-3-Million-Vaccines-Abroad-on-Behalf-of-White-House-COVID-19-Task-Force-OPS-CGO-07/default.aspx,Moderna,
Guatemala,April,321,600,Global,GTM,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
Guatemala,JUne,321,600,Global,GTM,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
Guatemala,August,201,600,Spain,GTM,COVAX/Spain,COVAX,https://www.gavi.org/news/media-room/first-doses-donated-spain-through-covax-arrive-peru-guatemala-paraguay-nicaragua,AstraZeneca,
Guatemala,August,150,000,Mexico,GTM,Mexico,Other,https://www.directrelief.org/2021/08/operational-update-covid-vaccines-to-guatemala-medical-aid-to-10-countries-over-past-week/,AstraZeneca,
Guatemala,February,5,000,Israel,GTM,Israel,Other,https://www.reuters.com/article/us-health-coronavirus-honduras/honduras-guatemala-expect-first-shipments-of-covax-vaccines-this-week-idUSKBN2B21KT,,
Guatemala,February,200,000,India,GTM,India,Other,https://www.reuters.com/article/us-health-coronavirus-honduras/honduras-guatemala-expect-first-shipments-of-covax-vaccines-this-week-idUSKBN2B21KT,,
Guatemala,August ,960,000,Procured,GTM,Procured,Other,https://republica.gt/2021/08/04/rusia-promete-destrabar-envio-de-sputnik-y-serian-casi-un-millon-de-segundas-dosis-para-guatemala/,Sputnik V,
Guatemala,July,163,200,Procured,GTM,Procured,Other,https://www.salud.gob.sv/minsal-recibe-segundo-lote-de-vacunas-contra-el-covid-19-de-la-farmaceutica-moderna/,AstraZeneca,
Honduras,July,212,940,Global,HND,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Pfizer/BioNTech,
Honduras,May,189,600,Global,HND,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/honduras,AstraZeneca,
Honduras,June,1,500,000,USA,HND,COVAX/USA,COVAX,https://www.forbes.com/sites/unicefusa/2021/06/29/15-million-covid-19-vaccine-doses-delivered-to-honduras-via-covax/?sh=696ee5757e62,Moderna,
Honduras,July,1,500,100,USA,HND,COVAX/USA,COVAX,https://hn.usembassy.gov/the-united-states-donates-1-5-million-doses-of-covid-19-vaccine-to-honduras/,Moderna,
Honduras,March,48,000,Global,HND,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/honduras,AstraZeneca,
Honduras,July,187,200,Global,HND,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/honduras,Pfizer/BioNTech,
Honduras,February,5,000,Israel,HND,Israel,Other,https://www.aa.com.tr/en/americas/1st-vaccines-arrive-in-honduras-guatemala-from-israel/2157560,,
Honduras,May,34,000,El Salvador ,HND,El Salvador ,Other,https://brazilian.report/liveblog/2021/05/13/el-salvador-donate-vaccines-honduras/,AstraZeneca,
Honduras,June,150,000,Mexico,HND,Mexico,Other,https://www.gob.mx/sre/prensa/mexico-donates-400-800-doses-of-covid-19-vaccines-and-three-tons-of-medical-supplies-to-guatemala-el-salvador-and-honduras?idiom=en,AstraZeneca,
Honduras,April,6,000,Procured,HND,Procured,Other,https://www.salud.gob.hn/site/index.php/component/k2/item/2155-llega-el-primer-lote-de-vacunas-rusas-compradas-por-el-gobierno-de-honduras,Sputnik V,
Honduras,June,59,670,Procured,HND,Procured,Other,https://forbescentroamerica.com/2021/06/30/honduras-recibe-59670-vacunas-contra-covid-19-por-parte-de-pfizer/,Pfizer/BioNTech,
Honduras,August,20,000,Procured,HND,Procured,Other,https://www.latimes.com/espanol/internacional/articulo/2021-08-14/llegan-a-honduras-20-000-dosis-del-segundo-componente-de-la-vacuna-sputnik-v,Sputnik V,
Colombia,August,591,100,Procured,COL,Procured,Other,https://www.semana.com/nacion/articulo/mas-vacunas-llego-a-colombia-un-lote-de-591100-dosis-de-astrazeneca/202110/,AstraZeneca,
Libya,August,40,000,Malta,LBY,Malta,Other,https://www.libyaherald.com/2021/08/18/malta-delivers-40000-astra-zeneca-vaccines-and-test-kits-to-libya/,AstraZeneca,
Libya,August,200,000,Greece,LBY,Greece,Other,https://www.libyaherald.com/2021/08/17/greece-sends-libya-200000-doses-of-astrazeneca-vaccines/,AstraZeneca,
El Salvador,July,125,190,Procured,SLV,Procured,Other,https://www.elsalvador.com/noticias/nacional/el-salvador-recibe-dosis-vacunas-pfizernovac-inmunizacion/854566/2021/,Pfizer/BioNTech,
Mozambique,August,500,000,Procured,MOZ,Procured,Other,https://allafrica.com/stories/202108100746.html,Sinopharm,
Mozambique,August,1,000,000,Procured,MOZ,Procured,Other,https://allafrica.com/stories/202108030122.html,Sinopharm,
Ethiopia,August,1,664,640,UK,ETH,COVAX/UK,COVAX,https://www.gavi.org/covax-vaccine-roll-out/ethiopia,AstraZeneca,
Honduras,August,176,670,Procured,HND,Procured,Other,https://www.laprensa.hn/honduras/1485024-410/secretaria-salud-llegada-otro-lote-honduras-vacunas-pfizer-pandemia-covid,Pfizer/BioNTech,
Ukraine,July,52,800,Estonia,UKR,Estonia,Other,https://news.err.ee/1608291141/estonia-sends-52-800-vaccines-doses-to-ukraine,AstraZeneca,
Ukraine,August,250,000,Austria,UKR,Austria,Other,https://112.international/ukraine-top-news/austria-to-pass-500000-doses-of-astrazeneca-to-ukraine-64244.html,AstraZeneca,
Ukraine,February,500,000,Procured,UKR,Procured,Other,https://www.ukrweekly.com/uwwp/first-covid-19-vaccine-administered-in-ukraine/,AstraZeneca,
Venezuela,June,500,000,Procured,VEN,Procured,Other,https://www.swissinfo.ch/spa/coronavirus-venezuela_venezuela-recibe-un-nuevo-lote-de-500.000-vacunas-sputnik-v-contra-la-covid/46701278,Sputnik V,
Zimbabwe,February,200,000,Procured,ZWE,Procured,Other,https://edition.cnn.com/2021/02/15/africa/zimbabwe-sinopharm-vaccine-china-intl/index.html,Sinopharm,
oPt,August,500,100,USA,PSE,COVAX/USA,COVAX,https://www.timesofisrael.com/palestinians-receive-500000-coronavirus-vaccines-from-us/,Moderna,
Somalia,August,151,200,Global,SOM,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Venezuela,May,500,000,Procured,VEN,Procured,Other,http://www.mppre.gob.ve/en/2021/05/30/seventh-sputnik-v-shipment-arrives-in-venezuela-for-second-phase-of-vaccination-campaign/,Sputnik V,
Venezuela,March,100,000,Procured,VEN,Procured,Other,http://www.mppre.gob.ve/en/2021/03/06/venezuela-receives-second-batch-of-sputnik-v/,Sputnik V,
Venezuela,March,50,000,Procured,VEN,Procured,Other,http://www.mppre.gob.ve/en/2021/03/29/ministers-arreaza-alvarado-receive-third-batch-of-sputnik-v-vaccines/,Sputnik V,
Venezuela,May,500,000,Procured,VEN,Procured,Other,https://sputniknews.com/latam/202105311083038412-venezuela-receives-new-shipment-of-russian-sputnik-v-vaccine-against-covid-19-president-maduro-says/,Sputnik V,
Zimbabwe,February,12,000,India,ZWE,India,Other,https://www.reuters.com/article/health-coronavirus-zimbabwe-vaccine/update-1-zimbabwe-to-buy-12-mln-more-covid-19-vaccine-doses-from-china-idUSL1N2KU20B,AstraZeneca,
Zimbabwe,July,25,000,Private Sector,ZWE,Private Sector,Other,https://mbaretimes.com/2021/07/zimses/,Sputnik V,
Zimbabwe,June,25,000,Private Sector,ZWE,Private Sector,Other,http://eng.alrosa.ru/alrosa-zim-donates-sputnik-v-vaccines-to-zimbabwe/,Sputnik V,
Zimbabwe,July,1,500,000,Procured,ZWE,Procured,Other,https://allafrica.com/stories/202107300782.html,Sinopharm,
El Salvador,June,204,000,Procured,SLV,Procured,Other,https://www.salud.gob.sv/el-gobierno-de-el-salvador-realiza-nueva-compra-directa-de-vacunas-astrazeneca/,Pfizer/BioNTech,
Ethiopia,July,391,200,France,ETH,COVAX/France,COVAX,https://www.gavi.org/covax-vaccine-roll-out/ethiopia,AstraZeneca,
Ethiopia,August,300,000,China,ETH,China,Other,http://www.news.cn/english/africa/2021-08/23/c_1310144100.htm,Sinopharm,
Iraq,June,500,000,Procured,IRQ,Procured,Other,https://shafaq.com/en/Iraq-News/Iraqi-MoH-receives-half-a-million-dose-of-Sinopharm-s-COVID-19-vaccine,Sinopharm,
Iraq,April,200,000,China,IRQ,China,Other,https://www.zhyan.co/en/News.aspx?id=528&MapID=2,Sinopharm,
Iraq,March,49,000,China,IRQ,China,Other,https://www.zhyan.co/en/News.aspx?id=528&MapID=2,Sinopharm,
Iraq,August,500,000,China,IRQ,China,Other,https://www.israelhayom.com/2021/08/13/iraq-receives-3rd-shipment-of-donated-chinese-covid-vaccines/,Sinopharm,
Iraq,February,50,000,China,IRQ,China,Other,http://www.xinhuanet.com/english/2021-02/15/c_139744858.htm,Sinopharm,
Iraq,April,50,000,Procured,IRQ,Procured,Other,https://www.kurdistan24.net/en/story/24258-Nearly-50,000-Pfizer-COVID-19-vaccine-doses-arrive-in-Iraq,Pfizer/BioNTech,
Guatemala,August,400,000,Procured,GTM,Procured,Other,https://www.swissinfo.ch/spa/coronavirus-guatemala_guatemala-recibe-lote-de-400.000-dosis-de-la-vacuna-rusa-contra-la-covid-19/46893354,Sputnik V,
Honduras,August,99,450,USA,HND,COVAX/USA,COVAX,https://www.paho.org/es/noticias/25-8-2021-99450-dosis-vacunas-pfizer-llegan-honduras-por-medio-covax,Pfizer/BioNTech,
Venezuela,July,33,000,Procured,VEN,Procured,Other,https://apnews.com/article/caribbean-europe-venezuela-coronavirus-vaccine-health-a13a9f95174cab7162c43cd106e506c2,Abdala ,
Venezuela,March,100,000,Procured,VEN,Procured,Other,https://www.reuters.com/article/instant-article/idINL2N2L019T,Sputnik V,
Nigeria,August,592,880,UK,NGA,COVAX/UK,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Pakistan,August,3,000,000,USA,PAK,COVAX/USA,COVAX,https://reliefweb.int/report/pakistan/covax-delivers-first-batch-10-million-doses-us-donated-pfizer-covid-19-vaccine,Pfizer/BioNTech,
Sudan,August,218,400,France,SDN,COVAX/France,COVAX,https://www.arabnews.com/node/1918696/middle-east,AstraZeneca,
El Salvador,August,188,370,USA,SLV,COVAX/USA,COVAX,https://diariolahuella.com/el-salvador-recibe-nuevo-lote-con-mas-de-300-mil-vacunas-contra-la-covid-19-de-pfizer/,Pfizer/BioNTech,
Ukraine,August,650,000,Poland,UKR,Poland,Other,https://www.reuters.com/world/europe/poland-send-650000-doses-astrazeneca-vaccine-ukraine-2021-08-16/,AstraZeneca,
Ukraine,June,108,000,Romania,UKR,Romania,Other,https://www.theguardian.com/world/live/2021/jun/16/coronavirus-live-news-new-york-hits-70-vaccination-target-japan-considering-10000-fans-at-olympics?page=with%3Ablock-60ca2f848f08bfe0ccb13b6e,,
Pakistan,August,2,000,000,China,PAK,China,Other,https://pakobserver.net/china-gifts-2-million-more-doses-of-covid-vaccine-to-pakistan/,Sinopharm,
Pakistan,August,1,008,000,UK,PAK,COVAX/UK,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Myanmar,September,868,927,Unknown,MMR,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Venezuela,September,4,759,829,Unknown,VEN,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,,222,560,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,August,188,370,USA,UKR,COVAX/USA,COVAX,https://reliefweb.int/report/ukraine/unicef-delivered-over-188000-doses-pfizer-vaccine-donated-ukraine-usa-through-covax,Pfizer/BioNTech,
South Sudan,September,59,520,France,SSD,COVAX/France,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Nigeria,September,801,600,Canada,NGA,COVAX/Canada,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Guatemala,September,169,650,Global,GTM,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Pfizer/BioNTech,
Niger,September,206,400,Unknown,NER,COVAX/Unknown,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
DRC,September,250,320,USA,COD,COVAX/USA,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Moderna,
Colombia,August,620,100,Procured,COL,Procured,Other,https://www.elpais.com.co/colombia/recibio-este-martes-620-100-dosis-de-vacuna-contra-el-covid-19-de-pfizer.html,Pfizer/BioNTech,
Iraq,September,100,800,Italy,IRQ,COVAX/Italy,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
oPt,March ,100,000,China,PSE,China,Other,https://www.france24.com/en/live-news/20210329-palestinians-get-100-000-chinese-covid-vaccine-doses,Sinopharm,
oPt,,53,279,Unknown,PSE,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Pfizer/BioNTech,
Pakistan,,758,010,Global,PAK,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,April,500,000,China,PAK,China,Other,https://twitter.com/AmbNong/status/1387258537894584324?s=20,Sinopharm,
Syria,March,5,000,Unknown,SYR,Unknown,Other,https://www.aljazeera.com/news/2021/3/17/syria-launches-covid-vaccination-drive-amid-economic-challenges,Sputnik V,
Syria,August,376,240,Sweden,SYR,COVAX/Sweden,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Yemen,August,151,200,USA,YEM,COVAX/USA,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Johnson & Johnson,
Iraq,,49,800,Global,IRQ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,September,6,600,000,USA,PAK,COVAX/USA,COVAX,https://tribune.com.pk/story/2318443/us-ships-66-million-doses-of-pfizer-vaccines-to-pakistan,Pfizer/BioNTech,
Pakistan,September,1,000,000,Procured,PAK,Procured,Other,https://tribune.com.pk/story/2318107/1-million-doses-of-russian-sputnik-v-vaccine-arrive-in-islamabad,Sputnik V,
Colombia,September,339,300,Procured,COL,Procured,Other,https://www.rcnradio.com/colombia/llegaron-mas-de-un-millon-de-vacunas-de-pfizer-y-astrazeneca-colombia,Pfizer/BioNTech,
Colombia,September,752,400,Procured,COL,Procured,Other,https://www.rcnradio.com/colombia/llegaron-mas-de-un-millon-de-vacunas-de-pfizer-y-astrazeneca-colombia,AstraZeneca,
Iraq,September,99,000,Global,IRQ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Iraq,September,365,000,Procured,IRQ,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Zimbabwe,September,15,000,Serbia,ZWE,Serbia,Other,https://allafrica.com/stories/202109020288.html,Sputnik V,
Zimbabwe,September,898,000,Procured,ZWE,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
El Salvador,September,200,070,Procured,SLV,Procured,Other,https://diariolahuella.com/el-salvador-recibe-mas-de-200-mil-vacunas-pfizer/,Pfizer/BioNTech,
El Salvador,September,132,780,Procured,SLV,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Venezuela,September,693,600,Global,VEN,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Sinovac,
Guatemala,September,363,100,Canada,GTM,COVAX/Canada,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
Iraq,September,100,800,Italy,IRQ,COVAX/Italy,COVAX,https://www.gavi.org/news/media-room/iraq-receives-first-doses-donated-italy-through-covax,AstraZeneca,
Honduras,September,81,900,Global,HND,COVAX/Global,COVAX,https://www.paho.org/es/noticias/3-9-2021-81900-dosis-vacunas-pfizer-llegan-honduras-por-medio-covax,Pfizer/BioNTech,
Honduras,September,150,000,Mexico,HND,Mexico,Other,http://www.salud.gob.hn/site/index.php/component/k2/item/2403-secretaria-de-salud-recibe-150-mil-dosis-de-vacuna-contra-la-covid-19-de-astrazeneca,AstraZeneca,
Honduras,September,210,600,Procured,HND,Procured,Other,http://www.salud.gob.hn/site/index.php/component/k2/item/2401-honduras-recibe-un-nuevo-lote-de-210-600-dosis-de-vacunas-contra-el-covid-19-de-la-farmaceutica-pfizer,Pfizer/BioNTech,
Ethiopia,September,138,240,Global,ETH,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ethiopia,September,120,000,African Vaccine Acquisition Trust,ETH,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Johnson & Johnson,
Mali,September,43,200,Denmark,MLI,COVAX/Denmark,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Mali,September,36,000,Norway,MLI,COVAX/Norway,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Mozambique,September,100,800,African Vaccine Acquisition Trust,MOZ,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Johnson & Johnson,
Sudan,September,357,600,Germany,SDN,COVAX/Germany,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Sudan,September,158,400,African Vaccine Acquisition Trust,SDN,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Johnson & Johnson,
South Sudan,September,152,950,USA,SSD,COVAX/USA,COVAX,https://www.afro.who.int/news/south-sudan-receives-its-first-consignment-johnson-johnson-covid-19-vaccines-through-covax,Johnson & Johnson,
Syria,July,250,000,Russia,SYR,Russia,Other,https://tass.com/world/1317383,Sputnik V,
Colombia,September,689,220,Procured,COL,Procured,Other,https://www.lafm.com.co/colombia/llegaran-colombia-1255380-vacunas-de-moderna-entre-el-jueves-y-el-sabado,Moderna,
Nigeria,September,561,600,African Vaccine Acquisition Trust,NGA,African Vaccine Acquisition Trust,Other,,Johnson & Johnson,
oPt,September,281,407,Unknown,PSE,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,September,1,000,000,Procured,PAK,Procured,Other,https://tass.com/society/1332559,Sputnik V,
Pakistan,September,7,679,373,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,September,1,123,359,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
El Salvador,September,109,980,Procured,SLV,Procured,Other,https://www.elsalvador.com/noticias/nacional/covid-19-vacunas-coronavirus/877545/2021/,Pfizer/BioNTech,
Iraq,September,542,175,Unknown,IRQ,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Libya,September,117,600,Italy,LBY,COVAX/Italy,COVAX,https://www.libyaherald.com/2021/09/16/italy-donates-117600-doses-of-astrazeneca-anti-coronavirus-vaccines-to-libya/,AstraZeneca,
oPt,September,136,405,Unknown,PSE,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Syria,September,73,760,Global,SYR,COVAX/Global,COVAX,https://reliefweb.int/report/syrian-arab-republic/who-counters-surge-delta-virus-largest-covax-delivery-date-northwest,,
Syria,September,45,200,Sweden,SYR,COVAX/Sweden,COVAX,http://www.emro.who.int/syria/news/update-on-covid-19-vaccination-in-syria-22-september-2021.html#:~:text=The%20third%20batch%20of%20358,northwest%20Syria%20on%2013%20September.,AstraZeneca,
El Salvador,September,12,600,Procured,SLV,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,September,180,000,Spain,HND,COVAX/Spain,COVAX,https://www.laprensa.hn/honduras/1493706-410/espa%C3%B1a-dona-honduras-180-mil-vacunas-astrazeneca-coronavirus-,AstraZeneca,
Honduras,August,100,000,Spain,HND,Spain,Other,http://www.salud.gob.hn/site/index.php/component/k2/item/2381-espana-dona-100-mil-dosis-de-vacunas-astrazeneca,AstraZeneca,
Honduras,September,45,630,Procured,HND,Procured,Other,https://proceso.hn/honduras-recibe-mas-de-52-mil-dosis-de-la-vacuna-de-pfizer/,Pfizer/BioNTech,
Honduras,September,7,020,USA,HND,COVAX/USA,COVAX,https://proceso.hn/honduras-recibe-mas-de-52-mil-dosis-de-la-vacuna-de-pfizer/,Pfizer/BioNTech,
Honduras,September,101,000,Dominican Republic,HND,Dominican Republic,Other,https://dominicantoday.com/dr/covid-19/2021/09/07/dominicans-donate-vaccines-to-honduras-guatemala/,,
Guatemala,September,304,000,Dominican Republic,GTM,Dominican Republic,Other,https://dominicantoday.com/dr/covid-19/2021/09/07/dominicans-donate-vaccines-to-honduras-guatemala/,,
Venezuela,September,1,057,789,Unknown,VEN,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Colombia,September,957,600,Spain,COL,COVAX/Spain,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
Colombia,May,546,390,Global,COL,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Pfizer/BioNTech,
Colombia,June,909,600,Global,COL,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
Colombia,September,2,097,600,Global,COL,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Sinovac,
Guatemala,September,307,200,Spain,GTM,COVAX/Spain,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
Mozambique,September,188,160,UK,MOZ,COVAX/UK,COVAX,https://twitter.com/UNICEF_Moz/status/1439816379729915904,AstraZeneca,
Ethiopia,September,132,960,Global,ETH,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ethiopia,September,957,600,USA,ETH,COVAX/USA,COVAX,https://reliefweb.int/report/ethiopia/united-states-donates-nearly-one-million-johnson-johnson-covid-19-vaccines-ethiopia,Johnson & Johnson,
Ethiopia,September,271,200,Germany,ETH,COVAX/Germany,COVAX,https://reliefweb.int/report/ethiopia/germany-supports-ethiopia-271200-covid-19-vaccine-doses,AstraZeneca,
Iraq,September,981,315,Unknown,IRQ,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Myanmar,May,500,000,China,MMR,China,Other,https://www.irrawaddy.com/news/burma/china-donates-500000-covid-19-vaccines-myanmar-junta.html,Sinopharm,
oPt,September,47,063,Unknown,PSE,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,September,245,938,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,September,159,600,Global,UKR,COVAX/Global,COVAX,https://www.unicef.org/ukraine/en/press-releases/unicef-delivered-over-159-000-doses-coronavac-vaccine-ukraine-under-covax,Sinovac,
Pakistan,September,4,000,000,Procured,PAK,Procured,Other,https://www.dawn.com/news/1646784,,
