Country,Date,Doses,Funder,ISO3,NewPipeline,Pipeline,Source_Url,Vaccine,c9
Cameroon,April,200,000,China,CMR,China,Other,https://www.aa.com.tr/en/africa/cameroon-receives-1st-covid-19-vaccine-batch/2205731,Sinovac,
Niger,April,355,200,Global,NER,COVAX/Global,COVAX,https://reliefweb.int/report/niger/more-355000-doses-covid-19-vaccines-shipped-covax-arrive-niger,AstraZeneca,
Cameroon,April,391,200,Global,CMR,COVAX/Global,COVAX,https://twitter.com/EvaUNICEF/status/1383845464630456320,AstraZeneca,
Syria,April,256,800,Global,SYR,COVAX/Global,COVAX,https://www.unicef.org/syria/press-releases/syria-receives-its-first-batch-covid-19-vaccines-through-covax,AstraZeneca,
Colombia,April,549,900,Procured,COL,Procured,Other,http://thecitypaperbogota.com/news/colombia-gives-green-light-for-vaccine-roll-out-by-private-health-sector/27224,Pfizer/BioNTech,
Nigeria,April,100,000,India,NGA,India,Other,https://africa.cgtn.com/2021/04/16/over-1-million-doses-of-covid-19-vaccine-administered-in-nigeria/,AstraZeneca,
Nigeria,April,300,000,Private Sector,NGA,Private Sector,Other,https://africa.cgtn.com/2021/04/16/over-1-million-doses-of-covid-19-vaccine-administered-in-nigeria/,AstraZeneca,
Ethiopia,March,300,000,China,ETH,China,Other,https://www.globaltimes.cn/page/202103/1219909.shtml,Sinopharm,
Myanmar,February ,1,700,000,India,MMR,India,Other,https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html,AstraZeneca,
Niger,April,25,000,India,NER,India,Other,https://www.mea.gov.in/vaccine-supply.htm,AstraZeneca,
Zimbabwe,April,35,000,India,ZWE,India,Other,https://www.mea.gov.in/vaccine-supply.htm,AstraZeneca,
Pakistan,April,150,000,Russia,PAK,Russia,Other,https://edition.cnn.com/2021/04/12/asia/pakistan-covid-private-vaccines-dst-intl-hnk/index.html,Sputnik V,
Pakistan,April,1,560,000,China,PAK,China,Other,https://edition.cnn.com/2021/04/12/asia/pakistan-covid-private-vaccines-dst-intl-hnk/index.html,Sinopharm,
Zimbabwe,March,1,000,000,Procured,ZWE,Procured,Other,https://www.aa.com.tr/en/africa/zimbabwe-receives-1m-doses-of-chinese-sinovac-vaccine/2193310,Sinovac,
Ukraine,April,117,000,Global,UKR,COVAX/Global,COVAX,https://reliefweb.int/report/ukraine/first-covid-19-vaccines-shipped-covax-arrive-ukraine,Pfizer/BioNTech,
Ukraine,April,367,200,Global,UKR,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/ukraine,AstraZeneca,
Colombia,April,912,000,Global,COL,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/colombia,AstraZeneca,
Syria,April,150,000,China,SYR,China,Other,https://www.reuters.com/world/china/syria-gets-donation-150000-covid-shots-china-2021-04-24/,Sinopharm,
Pakistan,April,500,000,China,PAK,China,Other,https://www.khaleejtimes.com/coronavirus-pandemic/pakistan-covid-pia-airlifts-1-million-vaccine-doses-from-china,Sinovac,
Pakistan,April,1,000,000,Procured,PAK,Procured,Other,https://www.khaleejtimes.com/coronavirus-pandemic/pakistan-covid-pia-airlifts-1-million-vaccine-doses-from-china,Sinopharm,
Pakistan,April,500,000,China,PAK,China,Other,https://www.aljazeera.com/news/2021/4/1/pakistan-receives-another-large-covid-vaccine-shipment-from-china,Sinopharm,
Pakistan,April,600,000,China,PAK,China,Other,https://thediplomat.com/2021/04/pakistans-covid-19-vaccine-campaign-crawls-along/,Sinovac,
Pakistan,April,50,000,Procured,PAK,Procured,Other,https://edition.cnn.com/2021/04/12/asia/pakistan-covid-private-vaccines-dst-intl-hnk/index.html,Sputnik V,
Libya,April,100,000,Procured,LBY,Procured,Other,https://www.africanews.com/2021/04/18/libya-kickstarts-coronavirus-vaccine-drive/,Sputnik V,
Ukraine,March,1,400,000,Procured,UKR,Procured,Other,http://www.xinhuanet.com/english/europe/2021-03/26/c_139836505.htm,Sinovac,
Myanmar,May,500,000,China,MMR,China,Other,https://www.irrawaddy.com/news/burma/china-donates-500000-covid-19-vaccines-myanmar-junta.html,Sinopharm,
Pakistan,May,1,238,400,Global,PAK,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/pakistan,AstraZeneca,
Ukraine,May,122,850,Global,UKR,COVAX/Global,COVAX,https://www.ukrinform.net/rubric-society/3247488-over-122000-doses-of-pfizerbiontech-vaccine-delivered-to-ukraine-via-covax.html,Pfizer/BioNTech,
Colombia,May,546,390,Global,COL,COVAX/Global,COVAX,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,AstraZeneca,
CAR,May,80,160,Norway,CAF,COVAX/Norway,COVAX,https://www.africanews.com/2021/05/21/car-launches-covid-19-vaccination-in-bangui//,AstraZeneca,
Libya,May,117,600,Global,LBY,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/libya,AstraZeneca,
Iraq,May,499,200,Global,IRQ,COVAX/Global,COVAX,https://reliefweb.int/report/iraq/iraq-receives-second-delivery-covid-19-vaccines-through-covax-facility-enar,AstraZeneca,
Venezuela,May,1,300,000,Procured,VEN,Procured,Other,https://efectococuyo.com/salud/venezuela-millones-de-vacunas-covid-19/,Sinopharm,
Libya,April,150,000,Türkiye,LBY,Türkiye,Other,http://www.china.org.cn/world/Off_the_Wire/2021-04/15/content_77407450.htm,Sinovac,
Somalia,April,200,000,China,SOM,China,Other,http://www.xinhuanet.com/english/africa/2021-04/12/c_139873472.htm,Sinopharm,
Sudan,March,200,000,China,SDN,China,Other,http://www.xinhuanet.com/english/africa/2021-03/27/c_139839190.htm,Sinopharm,
Burkina Faso,May,115,200,France,BFA,COVAX/France,COVAX,https://www.reuters.com/article/health-coronavirus-burkina-idUSL5N2NH0A9,AstraZeneca,
Colombia,May,6,500,000,Procured,COL,Procured,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Pfizer/BioNTech,
Pakistan,May,1,000,000,Procured,PAK,Procured,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Sinopharm,
Pakistan,May,1,000,000,Procured,PAK,Procured,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Sinovac,
Afghanistan,June,700,000,China,AFG,China,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Sinopharm,
Sudan,June ,30,000,UAE,SDN,UAE,Other,Daily Operational Update, 23 June 2021,,
Chad,June,200,000,China,TCD,China,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Sinopharm,
Colombia,June,450,000,Procured,COL,Procured,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,AstraZeneca,
Colombia,June,2,500,000,Procured,COL,Procured,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,,
Venezuela,June,686,988,Unknown,VEN,Unknown,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,,
Ukraine,June,705,600,Global,UKR,COVAX/Global,COVAX,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,AstraZeneca,
Ukraine,June,824,850,Global,UKR,COVAX/Global,COVAX,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Pfizer/BioNTech,
Sudan,June,20,000,China,SDN,China,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Sinopharm,
